ride,track,gateId,clusterId,t_iso,kind,angle_deg,speed_kmh,own_route
20260413-1647-work2home-18092213095,EveningA,StationWorkAlt:FINISH,C035,2026-04-13T14:47:32.324Z,valid,1.45,20.72,False
20260413-1647-work2home-18092213095,EveningA,WorkChurchB:START,C035,2026-04-13T14:47:35.726Z,valid,11.06,23.28,False
20260413-1647-work2home-18092213095,EveningA,EveningB:START,C011,2026-04-13T14:48:02.148Z,valid,5.8,16.79,False
20260413-1647-work2home-18092213095,EveningA,MorningB:FINISH,C020,2026-04-13T14:48:02.149Z,wrong_direction,174.08,16.79,False
20260413-1647-work2home-18092213095,EveningA,HomeStationViaFosh:G2,C047,2026-04-13T14:51:12.932Z,wrong_direction,178.65,25.54,False
20260413-1647-work2home-18092213095,EveningA,HomeStationPreferred:G2,C043,2026-04-13T14:51:38.713Z,wrong_direction,152.4,19.45,False
20260413-1647-work2home-18092213095,EveningA,StationHomePreferred:G2,C051,2026-04-13T14:51:38.848Z,valid,29.98,19.45,False
20260413-1647-work2home-18092213095,EveningA,Morning:G3,C004,2026-04-13T14:51:50.234Z,wrong_direction,175.1,23.27,False
20260413-1647-work2home-18092213095,EveningA,EveningA:G1,C007,2026-04-13T14:52:13.408Z,valid,2.6,23.58,True
20260413-1647-work2home-18092213095,EveningA,HomeFosh:G2,C070,2026-04-13T14:52:19.207Z,wrong_direction,172.49,21.45,False
20260413-1647-work2home-18092213095,EveningA,Morning:G2,C003,2026-04-13T14:55:49.126Z,wrong_direction,174.69,30.02,False
20260413-1647-work2home-18092213095,EveningA,EveningA:G2,C008,2026-04-13T14:56:03.795Z,valid,1.61,24.36,True
20260413-1647-work2home-18092213095,EveningA,HomeStationViaFosh:G1,C046,2026-04-13T14:56:55.611Z,wrong_direction,179.21,24.77,False
20260413-1647-work2home-18092213095,EveningA,StationHomePreferred:G3,C052,2026-04-13T14:57:02.152Z,valid,1.33,23.87,False
20260413-1647-work2home-18092213095,EveningA,HomeStationPreferred:G1,C042,2026-04-13T14:57:03.165Z,wrong_direction,175.7,24.13,False
20260413-1647-work2home-18092213095,EveningA,HomeFosh:G1,C069,2026-04-13T14:57:26.316Z,wrong_direction,172.9,19.63,False
20260413-1647-work2home-18092213095,EveningA,EveningA:G3,C009,2026-04-13T14:58:43.323Z,valid,4.6,23.27,True
20260413-1647-work2home-18092213095,EveningA,Morning:G1,C002,2026-04-13T14:59:13.220Z,wrong_direction,179.27,23.46,False
20260413-1647-work2home-18092213095,EveningA,HomeStationPreferred:START,C041,2026-04-13T15:02:08.002Z,wrong_direction,177.46,42.14,False
20260413-1647-work2home-18092213095,EveningA,HomeChurch:START,C041,2026-04-13T15:02:08.521Z,wrong_direction,176.71,42.14,False
20260413-1647-work2home-18092213095,EveningA,HomeFosh:START,C041,2026-04-13T15:02:11.166Z,wrong_direction,178.42,21.88,False
20260413-1647-work2home-18092213095,EveningA,HomeStationViaFosh:START,C041,2026-04-13T15:02:11.869Z,wrong_direction,179.22,21.88,False
20260413-1647-work2home-18092213095,EveningA,StationHomePreferred:FINISH,C053,2026-04-13T15:02:14.673Z,valid,4.61,22.93,False
20260413-1647-work2home-18092213095,EveningA,FoshHome:FINISH,C053,2026-04-13T15:02:18.132Z,valid,1.85,22.39,False
20260413-1647-work2home-18092213095,EveningA,Morning:START,C001,2026-04-13T15:02:27.967Z,wrong_direction,177.88,22.71,False
20260413-1647-work2home-18092213095,EveningA,EveningA:FINISH,C010,2026-04-13T15:02:28.753Z,valid,4.44,22.19,True
20260413-1647-work2home-18092213095,EveningA,ChurchHome:FINISH,C010,2026-04-13T15:02:30.382Z,valid,2.63,19.85,False
20260414-0847-home2work-18100665582,Morning,ChurchHome:FINISH,C010,2026-04-14T06:48:22.742Z,wrong_direction,175.45,19.35,False
20260414-0847-home2work-18100665582,Morning,EveningA:FINISH,C010,2026-04-14T06:48:24.309Z,wrong_direction,173.7,23.17,False
20260414-0847-home2work-18100665582,Morning,Morning:START,C001,2026-04-14T06:48:25.027Z,valid,0.67,23.42,True
20260414-0847-home2work-18100665582,Morning,FoshHome:FINISH,C053,2026-04-14T06:48:34.435Z,wrong_direction,179.91,24.0,False
20260414-0847-home2work-18100665582,Morning,StationHomePreferred:FINISH,C053,2026-04-14T06:48:37.616Z,wrong_direction,178.75,24.38,False
20260414-0847-home2work-18100665582,Morning,HomeStationViaFosh:START,C041,2026-04-14T06:48:40.220Z,valid,4.0,24.55,False
20260414-0847-home2work-18100665582,Morning,HomeFosh:START,C041,2026-04-14T06:48:40.858Z,valid,4.8,24.55,False
20260414-0847-home2work-18100665582,Morning,HomeChurch:START,C041,2026-04-14T06:48:43.570Z,valid,2.54,24.77,False
20260414-0847-home2work-18100665582,Morning,HomeStationPreferred:START,C041,2026-04-14T06:48:44.456Z,valid,1.1,25.02,False
20260414-0847-home2work-18100665582,Morning,Morning:G1,C002,2026-04-14T06:51:29.224Z,valid,0.05,24.72,True
20260414-0847-home2work-18100665582,Morning,EveningA:G3,C009,2026-04-14T06:51:58.591Z,wrong_direction,179.21,23.47,False
